GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,domain,match_score,domain_description,domain_topics,Project Size,CI_Exists_Checked,CI_Tools_Detected
geoopt/geoopt,Y,987,218,8404,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geoopt/geoopt/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/geoopt/geoopt/tree/master/docs,Checking https://github.com/geoopt/geoopt/pulse/monthly there has been 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/geoopt/geoopt/issues/136",https://github.com/geoopt/geoopt/blob/master/LICENSE is provided,There are many files related to testing.,2025-08-04,2,10,760.2,Natural Language Processing,1,Riemannian Adaptive Optimization Methods with pytorch optim,"optimization, pytorch, riemannian-geometry, riemannian-manifold, riemannian-optimization",small,Yes,"Makefile (Possible CI), GitHub Actions"
geyang/ml_logger,Y,200,831,4472,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/geyang/ml_logger/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/geyang/ml_logger/tree/master/ml_logger/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/geyang/ml_logger/issues/28",https://github.com/geyang/ml_logger/blob/master/LICENSE.md is provided,There are many files related to testing.,2025-04-21,27,5,479.3,Data Science / Traditional ML,2,"A logger, server and visualization dashboard for ML projects",,small,Yes,Makefile (Possible CI)
gjy3035/C-3-Framework,N,723,133,4303,The source code of the project exists as ad-hoc scripts.,https://github.com/gjy3035/C-3-Framework/graphs/contributors that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/gjy3035/C-3-Framework/issues/81",https://github.com/gjy3035/C-3-Framework/blob/python3.x/LICENSE is provided,There are few files related to testing.,2024-03-30,2,6,509.1,Computer Vision,3,An open-source PyTorch code for crowd counting,"computer-vision, crowd-analysis, crowd-counting, deep-learning",small,No,No CI config found
google/automl,Y,6403,733,22342,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/automl/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/automl/tree/master/efficientdet/g3doc",Checking https://github.com/google/automl/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/automl/issues/572",https://github.com/google/automl/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-03-02,5,39,3951.1,Data Science / Traditional ML,3,Google Brain AutoML,"automl, efficientdet, efficientnet, efficientnetv2, object-detection",medium,Yes,GitHub Actions
google/clusterfuzz,Y,5478,3690,106396,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/clusterfuzz/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/clusterfuzz/tree/master/docs",Checking https://github.com/google/clusterfuzz/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/clusterfuzz/issues/1850",https://github.com/google/clusterfuzz/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,196,99,6268.2,Data Science / Traditional ML,3,Scalable fuzzing infrastructure.,"fuzzing, security, stability, vulnerabilities",large,Yes,GitHub Actions
google/fhir,Y,897,1461,80,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/fhir/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/fhir/tree/master/py/google/fhir/labels, https://github.com/google/fhir/tree/master/py/google/fhir/models and https://github.com/google/fhir/tree/master/py/google/fhir/seqex",Checking https://github.com/google/fhir/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/fhir/issues/13",https://github.com/google/fhir/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-25,12,38,1937.1,Domain-Specific Applications,2,FHIR Protocol Buffers,"fhir, healthcare, hl7",small,No,No CI config found
google/flax,Y,6820,5358,64703,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/flax/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/flax/tree/master/docs",Checking https://github.com/google/flax/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/flax/issues/322",https://github.com/google/flax/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-26,267,258,12075.4,ML Frameworks / Libraries,4,Flax is a neural network library for JAX that is designed for flexibility.,jax,large,Yes,GitHub Actions
google/ml-metadata,Y,660,909,3619,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/ml-metadata/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and documentations in https://github.com/google/ml-metadata/tree/master/g3doc",Checking https://github.com/google/ml-metadata/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/ml-metadata/issues/42",https://github.com/google/ml-metadata/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-04-03,30,20,1136.7,ML Frameworks / Libraries,2,For recording and retrieving metadata associated with ML developer and data scientist workflows.,,small,Yes,GitHub Actions
google/qkeras,Y,571,451,23397,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/qkeras/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/qkeras/tree/master/qkeras/autoqkeras and https://github.com/google/qkeras/tree/master/qkeras",Checking https://github.com/google/qkeras/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/qkeras/issues/20",https://github.com/google/qkeras/blob/master/LICENSE is provided,There are many files related to testing.,2025-06-13,4,27,1173.7,ML Frameworks / Libraries,3,QKeras: a quantization deep learning library for Tensorflow Keras,"accelerator, asic-design, deep-learning, fpga, fpga-accelerator, hardware-acceleration, keras, machine-learning, quantization, quantized-networks, quantized-neural-networks, tensorflow",medium,Yes,GitHub Actions
google/tf-quant-finance,Y,4994,960,50669,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/tf-quant-finance/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/google/tf-quant-finance/tree/master/tf_quant_finance and https://github.com/google/tf-quant-finance/tree/master/api_docs",Checking https://github.com/google/tf-quant-finance/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/tf-quant-finance/issues/27",https://github.com/google/tf-quant-finance/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,2,41,3515.6,ML Frameworks / Libraries,3,High-performance TensorFlow library for quantitative finance.,"finance, gpu, gpu-computing, high-performance, high-performance-computing, numerical-integration, numerical-methods, numerical-optimization, python, quantitative-finance, quantlib, tensorflow",large,Yes,Has ci_build/ folder
GoogleCloudPlatform/healthcare,Y,386,847,7788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/healthcare/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/healthcare/issues/391 and https://github.com/GoogleCloudPlatform/healthcare/issues/463",https://github.com/GoogleCloudPlatform/healthcare/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2024-08-20,322,27,1218.5,Domain-Specific Applications,2,,,small,No,No CI config found
GoogleCloudPlatform/ml-on-gcp,Y,506,376,9308,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/ml-on-gcp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity with only 7 commits in the past 2 months,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/34 and https://github.com/GoogleCloudPlatform/ml-on-gcp/issues/42 but not often",https://github.com/GoogleCloudPlatform/ml-on-gcp/blob/master/LICENSE is provided.,Not much test files,2024-10-24,34,27,1125.2,Data Science / Traditional ML,8,Machine Learning on Google Cloud Platform,samples,small,No,No CI config found
GoogleCloudPlatform/professional-services,Y,2944,2324,82363,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/professional-services/graphs/contributors shows that there are multiple contributors,The project uses Cloudbuild CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/professional-services/issues/482 and https://github.com/GoogleCloudPlatform/professional-services/issues/333",https://github.com/GoogleCloudPlatform/professional-services/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-24,6,288,10514.8,Natural Language Processing,2,Common solutions and tools developed by Google Cloud's Professional Services team. This repository and its contents are not an officially supported Google product.,"bigquery, examples, gke, google-cloud-compute, google-cloud-dataflow, google-cloud-ml, google-cloud-platform, solutions, tools",large,Yes,Makefile (Possible CI)
GoogleCloudPlatform/python-docs-samples,Y,7839,11996,138315,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/python-docs-samples/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4206 and https://github.com/GoogleCloudPlatform/python-docs-samples/issues/4162",https://github.com/GoogleCloudPlatform/python-docs-samples/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-26,177,629,25604.4,Data Science / Traditional ML,2,Code samples used on cloud.google.com,"python, samples",large,Yes,Makefile (Possible CI)
GoogleCloudPlatform/training-data-analyst,Y,8292,7963,108122,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/training-data-analyst/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Functions mentioned but not well documented,Evidence of sustained commit activity,"Users ask, answer and resolve their own issues",https://github.com/GoogleCloudPlatform/training-data-analyst/blob/master/LICENSE is provided.,Can't find test files,2025-09-16,352,205,11855.7,Data Science / Traditional ML,2,Labs and demos for courses for GCP Training (http://cloud.google.com/training).,,large,No,No CI config found
google-research/google-research,Y,36441,4848,1307312,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/google-research/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There are multiple well maintained README,Checking https://github.com/google-research/google-research/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/google-research/blob/master/LICENSE is provided,There are few files related to testing.,2025-09-17,418,639,35200.8,Data Science / Traditional ML,2,Google Research,"ai, machine-learning, research",large,Yes,CircleCI
google-research/meta-dataset,Y,790,319,15178,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google-research/meta-dataset/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There are is a well maintained README and documentation at https://github.com/google-research/meta-dataset/tree/master/doc,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/google-research/issues/313",https://github.com/google-research/meta-dataset/blob/master/LICENSE is provided,There are few files related to testing.,2024-05-24,2,22,1071.7,Data Science / Traditional ML,3,A dataset of datasets for learning to learn from few examples,"benchmark, few-shot-learning, machine-learning, maml, meta-learning, tensorflow",medium,No,No CI config found
google-research/tensor2robot,Y,560,237,16147,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/tensor2robot/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and the majority of the functions in https://github.com/google-research/tensor2robot/tree/master/models ",Checking https://github.com/google-research/tensor2robot/pulse/monthly there has been 8 commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/google-research/tensor2robot/blob/master/LICENSE is provided,There are few files related to testing.,2024-08-19,2,14,715.1,Reinforcement Learning,3,Distributed machine learning infrastructure for large-scale robotics research,,medium,No,No CI config found
google-research/text-to-text-transfer-transformer,Y,6425,601,8552,The source code of the project exists as ad-hoc scripts.,https://github.com/google-research/text-to-text-transfer-transformer/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/google-research/text-to-text-transfer-transformer/tree/master/t5/scripts",Checking https://github.com/google-research/text-to-text-transfer-transformer/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google-research/text-to-text-transfer-transformer/issues/299",https://github.com/google-research/text-to-text-transfer-transformer/blob/master/LICENSE is provided,There are many files related to testing.,2025-04-28,40,57,4460.3,ML Frameworks / Libraries,4,"Code for the paper ""Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer""",,small,Yes,GitHub Actions
GRAAL-Research/poutyne,Y,576,774,12874,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GRAAL-Research/poutyne/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/GRAAL-Research/poutyne/issues/72 and https://github.com/GRAAL-Research/poutyne/issues/40",https://github.com/GRAAL-Research/poutyne/blob/master/LICENSE is provided.,There are many files related to testing.,2025-05-05,8,20,1062.6,ML Frameworks / Libraries,3,A simplified framework and utilities for PyTorch,"data-science, deep-learning, keras, machine-learning, neural-network, python, pytorch",medium,Yes,GitHub Actions
graphbrain/graphbrain,Y,618,3218,10180,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/graphbrain/graphbrain/graphs/contributors that there are multiple contributors.,CI is not used on the project.,"There is a well-maintained README, and majority of the functions in https://github.com/graphbrain/graphbrain/tree/master/docs",Checking https://github.com/graphbrain/graphbrain/pulse/monthly there has been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/graphbrain/graphbrain/blob/master/LICENSE is provided,There are few files related to testing.,2025-08-06,6,7,1422.6,Natural Language Processing,4,"Language, Knowledge, Cognition","artificial-intelligence, cognitive-science, computational-social-science, hypergraphs, knowledge, knowledge-base, knowledge-graph, knowledge-representation, natural-language-processing, natural-language-understanding, nlp, philosophy, python, text-analysis, text-mining",small,No,No CI config found
greentfrapp/lucent,Y,643,191,2009,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/greentfrapp/lucent/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/greentfrapp/lucent/tree/master/lucent",Checking https://github.com/greentfrapp/lucent/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/graphbrain/graphbrain/issues/17",https://github.com/greentfrapp/lucent/blob/master/LICENSE is provided,There are few files related to testing.,2025-03-21,5,11,644.5,ML Frameworks / Libraries,3,Lucid library adapted for PyTorch,,small,Yes,"Travis CI, GitHub Actions"
guildai/guildai,Y,889,5779,51790,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guildai/guildai/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guildai/guildai/tree/master/guild",Checking https://github.com/guildai/guildai/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guildai/guildai/issues/205",https://github.com/guildai/guildai/blob/master/LICENSE.txt is provided,There are few files related to testing.,2025-04-29,70,23,2779.3,MLOps / Deployment,1,"Experiment tracking, ML developer tools",,large,Yes,"Makefile (Possible CI), GitHub Actions"
guillaume-be/rust-bert,Y,2951,1120,176,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/guillaume-be/rust-bert/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and majority of the functions in https://github.com/guillaume-be/rust-bert/tree/master/src",Checking https://github.com/guillaume-be/rust-bert/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/guillaume-be/rust-bert/issues/56",https://github.com/guillaume-be/rust-bert/blob/master/LICENSE is provided,There are many files related to testing.,2025-05-26,7,47,2926.4,Natural Language Processing,12,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...)","bart, bert, deep-learning, electra, gpt, gpt-2, language-generation, machine-learning, ner, nlp, question-answering, roberta, rust, rust-lang, sentiment-analysis, transformer, translation",small,Yes,"Travis CI, GitHub Actions"
hastagAB/Awesome-Python-Scripts,N,2263,471,7569,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,2024-06-21,12,133,5036.5,Natural Language Processing,2,A Curated list of Awesome Python Scripts that Automate Stuffs. ,hacktoberfest,small,No,No CI config found
heartexlabs/label-studio,Y,24894,5537,52356,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/heartexlabs/label-studio/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/heartexlabs/label-studio/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/heartexlabs/label-studio/issues/335",https://github.com/heartexlabs/label-studio/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2025-09-26,1218,138,15758.7,Computer Vision,5,Label Studio is a multi-type data labeling and annotation tool with standardized output format,"annotation, annotation-tool, annotations, boundingbox, computer-vision, data-labeling, dataset, datasets, deep-learning, image-annotation, image-classification, image-labeling, image-labelling-tool, label-studio, labeling, labeling-tool, mlops, semantic-segmentation, text-annotation, yolo",large,Yes,"Makefile (Possible CI), GitHub Actions"
henrysky/astroNN,Y,204,2181,10096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and documentation in https://github.com/henrysky/astroNN/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/henrysky/astroNN/issues/6",https://github.com/henrysky/astroNN/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-09,9,5,885.9,ML Frameworks / Libraries,3,Deep Learning for Astronomers with Keras,"astronomy, astrophysics, neural-network, neural-networks, python, science, tensorflow",small,Yes,GitHub Actions
home-assistant/core,Y,81605,99340,2109291,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/home-assistant/core/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/home-assistant/core/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/home-assistant/core/issues/37681",https://github.com/home-assistant/core/blob/dev/LICENSE.md is provided,There are many files related to testing.,2025-09-28,238,1026,93224.0,Reinforcement Learning,2,:house_with_garden: Open source home automation that puts local control and privacy first.,"asyncio, hacktoberfest, home-automation, internet-of-things, iot, mqtt, python, raspberry-pi",large,Yes,GitHub Actions
huggingface/transformers,Y,150377,20591,988895,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huggingface/transformers/graphs/contributors,"The project uses CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",The project shows frequent and consistent commits throughout the past years: https://github.com/huggingface/transformers/graphs/commit-activity,More closed issues than open. Project authors respond to issues: https://github.com/huggingface/transformers/issues,https://github.com/huggingface/transformers/blob/master/LICENSE,There are many files related to testing.,2025-09-26,964,3231,163258.1,Domain-Specific Applications,5,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio, deep-learning, deepseek, gemma, glm, hacktoberfest, llm, machine-learning, model-hub, natural-language-processing, nlp, pretrained-models, python, pytorch, pytorch-transformers, qwen, speech-recognition, transformer, vlm",large,Yes,"Makefile (Possible CI), CircleCI, GitHub Actions"
huseinzol05/Malaya,Y,506,942,603277,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/huseinzol05/Malaya/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"Only one issue, issues closed frequently: https://github.com/huseinzol05/Malaya/issues?q=is%3Aissue+is%3Aclosed",https://github.com/huseinzol05/Malaya/blob/master/LICENSE,There are few files related to testing.,2025-08-29,47,10,785.0,Natural Language Processing,6," Natural Language Toolkit for Malaysian language, https://malaya.readthedocs.io/","bahasa-malaysia, emotion-analysis, entity-framework, language-detection, malay, malay-nlp, natural-language-processing, ner, normalizer, pos-tagging, sentiment-analysis, subjectivity-analysis, tensorflow",large,Yes,GitHub Actions
IBM/adversarial-robustness-toolbox,Y,5560,13028,80632,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/adversarial-robustness-toolbox/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/IBM/adversarial-robustness-toolbox/issues/477 and https://github.com/IBM/adversarial-robustness-toolbox/issues/448",https://github.com/IBM/adversarial-robustness-toolbox/blob/main/LICENSE is provided.,There are many files related to testing.,2025-09-25,7,109,9402.4,Data Science / Traditional ML,5,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams","adversarial-attacks, adversarial-examples, adversarial-machine-learning, ai, artificial-intelligence, attack, blue-team, evasion, extraction, inference, machine-learning, poisoning, privacy, python, red-team, trusted-ai, trustworthy-ai",large,Yes,"Makefile (Possible CI), GitHub Actions"
IBM/AIF360,Y,2657,438,13835,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIF360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity but quite stable,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/IBM/AIF360/issues/185 and https://github.com/IBM/AIF360/issues/45",https://github.com/IBM/AIF360/blob/master/LICENSE is provided.,There are many files related to testing.,2024-12-10,19,63,3084.2,Domain-Specific Applications,5,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.","ai, artificial-intelligence, bias, bias-correction, bias-detection, bias-finder, bias-reduction, codait, deep-learning, discrimination, fairness, fairness-ai, fairness-awareness-model, fairness-testing, ibm-research, ibm-research-ai, machine-learning, python, r, trusted-ai",medium,Yes,GitHub Actions
IBM/AIX360,Y,1735,633,17132,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/AIX360/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues but not often, as evidenced by https://github.com/IBM/AIX360/issues/46 and https://github.com/IBM/AIX360/issues/76",https://github.com/IBM/AIX360/blob/master/LICENSE is provided.,There are many files related to testing.,2025-02-26,10,26,1663.9,Domain-Specific Applications,6,Interpretability and explainability of data and machine learning models,"artificial-intelligence, codait, deep-learning, explainabil, explainable-ai, explainable-ml, ibm-research, ibm-research-ai, machine-learning, trusted-ai, trusted-ml, xai",medium,Yes,GitHub Actions
IBM/lale,Y,343,1540,80917,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/IBM/lale/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/IBM/lale/blob/master/LICENSE.txt is provided.,There are many files related to testing.,2025-09-19,10,27,1409.2,Data Science / Traditional ML,10,Library for Semi-Automated Data Science,"artificial-intelligence, automated-machine-learning, automl, data-science, dataquality, hyperparameter-optimization, hyperparameter-search, hyperparameter-tuning, ibm-research, ibm-research-ai, interoperability, machine-learning, pipeline-testing, pipeline-tests, python, scikit-learn",large,Yes,"Makefile (Possible CI), GitHub Actions"
idealo/image-super-resolution,Y,4789,151,2788,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/idealo/image-super-resolution/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented","No commits in the past few months, around 12 commits in the last year",More closed issues than open. Project authors respond to issues: https://github.com/idealo/image-super-resolution/issues,https://github.com/idealo/image-super-resolution/blob/master/LICENSE,There are many files related to testing.,2024-12-18,6,8,2200.9,Computer Vision,4,🔎 Super-scale your images and run experiments with Residual Dense and Adversarial Networks.,"aws, computer-vision, convolutional-neural-networks, deep-learning, docker, e-commerce, idealo, image-processing, image-super-resolution, keras, machine-learning, neural-network, nvidia-docker, super-resolution, tensorflow",small,Yes,Travis CI
interpretml/DiCE,Y,1446,791,7492,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/DiCE/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/DiCE/issues,https://github.com/interpretml/DiCE/blob/master/LICENSE,There are many files related to testing.,2025-07-13,96,23,1505.6999999999998,Data Science / Traditional ML,4,Generate Diverse Counterfactual Explanations for any machine learning model. ,"counterfactual-explanations, deep-learning, explainable-ai, explainable-ml, interpretable-machine-learning, machine-learning, xai",small,Yes,GitHub Actions
interpretml/interpret-community,Y,435,486,10499,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-community/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/interpretml/interpret-community/issues?q=is%3Aopen+is%3Aissue,https://github.com/interpretml/interpret-community/blob/master/LICENSE,There are many files related to testing.,2025-02-07,34,22,979.8,Data Science / Traditional ML,5,Interpret Community extends Interpret repository with additional interpretability techniques and utility functions to handle real-world datasets and workflows.,"deep-learning, explainer, explanationdashboard, interpretable-models, machine-learning, mimic-explainer, python, pytorch, tabular-explainer",medium,Yes,GitHub Actions
