GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,Composite Score,match_score,domain_description,domain_topics,Project Size,Created Date,created_dt,age_days,total_smells,smell_density,age_category,domain,has_ci,size_category,commit_freq,team_size,activity_level
stephenhky/PyShortTextCategorization,Y,472,1539,2590,"Many folders, each have a few files inside in https://github.com/stephenhky/PyShortTextCategorization/tree/master/shorttext","1 has significantly more commits than others, but 5 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,6 open << 32 closed,License provided,A number of tests,2025-09-19,184,7,860.5,2,Various Algorithms for Short Text Mining,"algorithm, machine-learning, natural-language-processing, neural-network, package, python, python-library, text-mining, topic-modeling",small,2016-10-06T03:11:10Z,2016-10-06 03:11:10,3346,156,60.23166023166023,Mature,Natural Language Processing,True,small,167.9975343693963,Small,Low
tensorflow/fairness-indicators,Y,353,397,1520,2 modules,"2 have significantly more commits than others, but 11 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",all closed,License provided,X Doesn't seem to have unit test,2025-08-04,55,31,1190.3,2,Tensorflow's Fairness Evaluation and Visualization Toolkit,"fairness-indicators, fairness-ml, tensorflow",small,2019-09-30T22:56:45Z,2019-09-30 22:56:45,2256,45,29.605263157894736,Young,ML Frameworks / Libraries,True,small,64.27493351063829,Small,Low
tensorflow/serving,Y,6325,9171,2292,Organised but not in modules,"1 has significantly more commits than others, but 100 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commit activity not negligible,67 open << 1086 closed,License provided,X 2 tests https://github.com/tensorflow/serving/tree/master/tensorflow_serving/test_util,2025-09-26,78,210,11581.3,4,"A flexible, high-performance serving system for machine learning models","cpp, deep-learning, deep-neural-networks, machine-learning, ml, neural-network, python, serving, tensorflow",small,2016-01-26T21:48:20Z,2016-01-26 21:48:20,3599,110,47.99301919720768,Mature,ML Frameworks / Libraries,True,small,930.7329119199778,Large,High
thunlp/OpenNRE,N,4429,177,3137,Organised but not in modules,"1 has significantly more commits than others, but 5 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,all closed,License provided,X 1 test https://github.com/thunlp/OpenNRE/tree/master/tests,2024-01-10,6,8,2064.7,4, An Open-Source Package for Neural Relation Extraction (NRE),relation-extraction,small,2017-02-26T07:37:12Z,2017-02-26 07:37:12,3202,110,35.065349059611094,Mature,Natural Language Processing,False,small,20.190271705184262,Small,Low
Tiiiger/QPyTorch,Y,285,246,3868,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tiiiger/QPyTorch/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Tiiiger/QPyTorch/issues/31 and https://github.com/Tiiiger/QPyTorch/issues/21",https://github.com/Tiiiger/QPyTorch/blob/master/LICENSE is provided.,There are many files related to testing,2024-05-20,2,9,457.8,2,Low Precision Arithmetic Simulation in PyTorch,"learning, low-precision",small,2018-07-30T03:10:44Z,2018-07-30 03:10:44,2684,164,42.39917269906929,Young,ML Frameworks / Libraries,False,small,33.47671385991058,Small,Low
timesler/facenet-pytorch,Y,4993,252,1467,Organised but not in modules,"1 has significantly more commits than others, but 7 contributers",Travis used,Documentation mostly in links,Commit activity not negligible,9 open < 56 closed,License provided,X 3 tests,2024-08-02,5,17,2582.8,3,Pretrained Pytorch face detection (MTCNN) and facial recognition (InceptionResnet) models,"face-detection, face-identification, face-recognition, face-tracking, facial-recognition, inception-resnet, mtcnn, pretrained-models, pytorch, resnet",small,2019-05-25T01:29:24Z,2019-05-25 01:29:24,2385,40,27.266530334015,Young,ML Frameworks / Libraries,True,small,38.59245283018868,Small,Low
tslearn-team/tslearn,Y,3037,1685,10150,X The source code of the project exists as ad-hoc scripts.,"2 has significantly more commits than others, but 23 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,21 open << 154 closed,License provided,Quite a number of tests,2025-09-26,11,39,2890.3,4,The machine learning toolkit for time series analysis in Python,"dtw, dynamic-time-warping, machine-learning, machine-learning-algorithms, machinelearning, python, time-series, time-series-analysis, time-series-classification, time-series-clustering, timeseries",small,2017-05-04T13:08:13Z,2017-05-04 13:08:13,3135,515,50.73891625615764,Mature,Domain-Specific Applications,True,small,196.3145933014354,Small,High
wandb/examples,N,1181,1003,7128,X The source code of the project exists as ad-hoc scripts in folders,Yes,X CI is not used on the project.,X not much,Commits are quite spread out,3 open > 1 closed,"X There is no license to be found, either in the form of a license file or written inside the source code file.",X 1,2025-09-23,290,68,2813.3,2,Example deep learning projects that use wandb's features.,,small,2018-01-29T17:53:59Z,2018-01-29 17:53:59,2865,304,42.64870931537598,Mature,Data Science / Traditional ML,True,small,127.86937172774869,Large,Low
wikipedia2vec/wikipedia2vec,Y,956,333,4481,X The source code of the project exists as ad-hoc scripts in folders,"1 has significantly more commits than others, 30 contributers",CircleCI used,X not much,Commits are quite spread out,all closed,License provided,A few,2024-01-11,4,5,632.3,4,A tool for learning vector representations of words and entities from Wikipedia,"embeddings, natural-language-processing, nlp, python, text-classification, wikipedia",small,2015-10-26T10:37:06Z,2015-10-26 10:37:06,3691,148,33.028341887971436,Mature,Natural Language Processing,True,small,32.952655107017065,Small,Low
zalandoresearch/pytorch-ts,Y,1333,438,9932,Organised but not in modules,"1 main contributer, the other 3 has 1+ commit",X CI is not used on the project.,X not much,Commits are quite spread out,2 open < 9 closed,License provided,A number,2024-06-14,13,11,994.6,4,PyTorch based Probabilistic Time Series forecasting framework based on GluonTS backend,"deepar, lstnet, n-beats, probabilistic, pytorch, time-series",small,2020-03-16T16:47:08Z,2020-03-16 16:47:08,2088,337,33.93072895690697,Young,ML Frameworks / Libraries,True,small,76.61853448275862,Small,Low
zeusees/HyperLPR,N,5991,344,1356,organised in folders,"1 main contributer, others has 1+ commit",X CI is not used on the project.,Chinese,Commits are quite spread out,25 open << 220 closed,License provided,X Doesn't seem to have unit test,2024-07-27,22,17,3009.6,3,High Performance Chinese License Plate Recognition Framework.,"android, cpp, deep-learning, plate-recognition, tensorflow",small,2017-09-24T05:44:38Z,2017-09-24 05:44:38,2992,75,55.309734513274336,Mature,ML Frameworks / Libraries,False,small,41.99398395721926,Small,Low
zhanghang1989/PyTorch-Encoding,Y,2051,120,6905,Organised but not in modules,"1 main contributer, the other 4 has 1+ commit",X CI is not used on the project.,Have a docs folder,"Recent, Commit activity not negligible",91 open < 146 closed,License provided,A number,2024-12-21,6,9,1126.4,3,A CV toolkit for my papers.,"batchnorm, deep-learning, encoding-layer, synchronized-batchnorm",small,2017-05-12T18:04:54Z,2017-05-12 18:04:54,3127,285,41.27443881245475,Mature,Computer Vision,True,small,14.016629357211386,Small,Low
amaiya/ktrain,Y,1261,3066,15566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing,2024-07-09,5,16,1904.2,7,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply,"computer-vision, deep-learning, graph-neural-networks, keras, machine-learning, nlp, python, tabular-data, tensorflow",medium,2019-02-06T17:01:39Z,2019-02-06 17:01:39,2492,627,40.28009764872157,Young,Natural Language Processing,True,medium,449.38061797752806,Small,High
analyticalmindsltd/smote_variants,Y,673,498,21361,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file,2024-01-01,5,5,568.6,2,A collection of 85 minority oversampling techniques (SMOTE) for imbalanced learning with multi-class oversampling and model selection features,"imbalanced-data, imbalanced-learning, oversampling, smote",medium,2018-10-05T20:21:54Z,2018-10-05 20:21:54,2616,130,6.0858574036796025,Young,Data Science / Traditional ML,True,medium,69.53153669724772,Small,Low
apache/submarine,Y,706,1051,13139,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing,2024-04-03,23,63,2487.7,5,Submarine is Cloud Native Machine Learning Platform.,"ai, deep-learning, docker, kubernetes, machine-learning, notebook",medium,2019-09-19T04:00:17Z,2019-09-19 04:00:17,2267,480,36.5324606134409,Young,MLOps / Deployment,True,medium,169.3329289810322,Large,Low
autorope/donkeycar,Y,3314,2204,22292,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/autorope/donkeycar/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/autorope/donkeycar/issues/600 and https://github.com/autorope/donkeycar/issues/566",https://github.com/autorope/donkeycar/blob/dev/LICENSE is provided.,There are many files related to testing,2025-08-04,46,112,5346.8,3,Open source hardware and software platform to build a small scale self driving car.,"cv2, donkeycar, jetson-nano, keras, python, raspberry-pi, self-driving-car, tensorflow, vision",medium,2016-12-10T06:35:09Z,2016-12-10 06:35:09,3280,1182,53.02350619056163,Mature,ML Frameworks / Libraries,True,medium,245.43018292682925,Large,High
BindsNET/bindsnet,Y,1625,2124,14028,The source code of the project exists as ad-hoc scripts.,https://github.com/BindsNET/bindsnet/graphs/contributors shows that there are multiple contributors.,The project uses Travis CI,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity with 17 commits last month,"The project maintainers respond to issues, as evidenced by https://github.com/BindsNET/bindsnet/issues/345 and https://github.com/BindsNET/bindsnet/issues/317.",https://github.com/BindsNET/bindsnet/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,24,46,2667.2,4,Simulation of spiking neural networks (SNNs) using PyTorch.,"dynamic, gpu-computing, machine-learning, neurons, pytorch, reinforcement-learning, simulation, snn, spiking-neural-networks, stdp, synapse",medium,2018-02-09T19:42:37Z,2018-02-09 19:42:37,2854,612,43.62703165098375,Mature,Reinforcement Learning,True,medium,271.8258584442887,Small,High
BloodAxe/pytorch-toolbelt,Y,1556,1245,12133,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/BloodAxe/pytorch-toolbelt/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,Most of the functions in the source code are not documented.,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"The project maintainers (mainly author) respond to issues, as evidenced by https://github.com/BloodAxe/pytorch-toolbelt/issues/4 and https://github.com/BloodAxe/pytorch-toolbelt/issues/7.",https://github.com/BloodAxe/pytorch-toolbelt/blob/develop/LICENSE is provided.,There are many files related to testing.,2025-09-12,5,7,1205.9,5,PyTorch extensions for fast R&D prototyping and Kaggle farming,"augmentation, deep-learning, focal-loss, image-classification, image-processing, image-segmentation, jaccard-loss, kaggle, machine-learning, object-detection, pipeline, python, pytorch, segmentation, test-time-augmentation, tta",medium,2019-03-15T16:02:49Z,2019-03-15 16:02:49,2455,361,29.753564658369736,Young,Computer Vision,True,medium,185.22861507128312,Small,Low
brainiak/brainiak,Y,358,406,17865,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/brainiak/brainiak/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/brainiak/brainiak/issues/448 and https://github.com/brainiak/brainiak/issues/456",https://github.com/brainiak/brainiak/blob/master/LICENSE is provided.,There are many files related to testing,2025-01-06,4,32,1225.0,2,Brain Imaging Analysis Kit,"distributed, fmri, machine-learning, neuroimaging, neuroscience",medium,2016-02-08T23:19:27Z,2016-02-08 23:19:27,3586,955,53.45647914917436,Mature,Domain-Specific Applications,True,medium,41.35290016731735,Small,Low
Calamari-OCR/calamari,Y,1166,479,11088,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Calamari-OCR/calamari/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Gitlab CI,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Project-MONAI/MONAI/issues/614 and https://github.com/Project-MONAI/MONAI/issues/598.",https://github.com/Cadene/bootstrap.pytorch/blob/master/LICENSE.txt is provided.,There are many files related to testing.,2025-05-12,12,19,1180.1,1,Line based ATR Engine based on OCRopy,,medium,2018-03-20T15:22:29Z,2018-03-20 15:22:29,2815,415,37.42784992784993,Mature,Computer Vision,True,medium,62.15088809946714,Small,Low
cornellius-gp/gpytorch,Y,3777,3975,24163,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornellius-gp/gpytorch/graphs/contributors shows that there are multiple contributors.,The project uses TravisCI to test their build and codes,There is a well maintained README,Checking https://github.com/cornellius-gp/gpytorch/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/cornellius-gp/gpytorch/issues/1188 and https://github.com/cornellius-gp/gpytorch/issues/1184",https://github.com/cornellius-gp/gpytorch/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-03,108,115,6153.3,3,A highly efficient implementation of Gaussian Processes in PyTorch,"gaussian-processes, gpu-acceleration, pytorch",medium,2017-06-09T14:48:20Z,2017-06-09 14:48:20,3099,1010,41.79944543310019,Mature,ML Frameworks / Libraries,True,medium,468.4958857696031,Large,High
CornellNLP/Cornell-Conversational-Analysis-Toolkit,Y,603,1497,16129,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/39 and https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/issues/33.",https://github.com/CornellNLP/Cornell-Conversational-Analysis-Toolkit/blob/master/LICENSE.md is provided.,"There is no evidence of testing however, the project is mainly on Jupyter so testing may be on the jupyter notebooks",2025-09-22,66,26,1470.3,3,ConvoKit is a toolkit for extracting conversational features and analyzing social phenomena in conversations. It includes several large conversational datasets along with scripts exemplifying the use of the toolkit on these datasets.,"computational-social-science, conversational-ai, conversational-analysis, conversations, dataset, dialogs, machine-learning, nlp, toolkit",medium,2016-03-14T19:04:22Z,2016-03-14 19:04:22,3551,642,39.80407960815921,Mature,Natural Language Processing,True,medium,153.97894959166433,Small,Low
cornell-zhang/heterocl,Y,341,1123,20269,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/cornell-zhang/heterocl/graphs/contributors shows that there are multiple contributors.,The project uses CircleCI to test their build and codes,There is a well maintained README,The project only has 11 commits in the past month.,The project maintainer only replied to selected few issues,https://github.com/cornell-zhang/heterocl/blob/master/LICENSE is provided.,There are many files related to testing.,2024-04-20,15,17,983.3,1,HeteroCL: A Multi-Paradigm Programming Infrastructure for Software-Defined Heterogeneous Computing (FPGA'19 Best Paper),"accelerators, compiler, dsl, fpga, fpga-programming, high-level-synthesis, python",medium,2017-12-20T16:13:52Z,2017-12-20 16:13:52,2905,1055,52.04992846218363,Mature,ML Frameworks / Libraries,True,medium,141.19647160068848,Small,Low
cpnota/autonomous-learning-library,Y,652,300,10618,The source code of the project exists as ad-hoc scripts.,https://github.com/cpnota/autonomous-learning-library/graphs/contributors shows that there are a handful (4) of contributors. ,The project hardly uses TravisCI to test their build and codes,Most of the functions in the source code are not documented.,Checking https://github.com/cpnota/autonomous-learning-library/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/cpnota/autonomous-learning-library/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,2024-03-17,2,9,620.8,9,A PyTorch library for building deep reinforcement learning agents.,"a2c, advantage-actor-critic, ddpg, deep-deterministic-policy-gradient, deep-q-learning, deep-reinforcement-learning, dqn, dqn-pytorch, ppo, proximal-policy-optimization, reinforcement-learning, reinforcement-learning-algorithms, sac, soft-actor-critic",medium,2018-11-07T21:39:56Z,2018-11-07 21:39:56,2583,256,24.1100018835939,Young,Reinforcement Learning,True,medium,42.42160278745645,Small,Low
danielegrattarola/spektral,Y,2384,1134,10445,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README at https://github.com/danielegrattarola/spektral/blob/master/spektral/datasets/citation.py,Checking https://github.com/danielegrattarola/spektral/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielegrattarola/spektral/issues/69, https://github.com/danielegrattarola/spektral/issues/68",https://github.com/danielegrattarola/spektral/blob/master/LICENSE is provided,There are many files related to testing.,2024-01-21,4,24,2013.8,4,Graph Neural Networks with Keras and Tensorflow 2.,"deep-learning, graph-deep-learning, graph-neural-networks, keras, python, tensorflow, tensorflow2",medium,2019-01-17T11:19:10Z,2019-01-17 11:19:10,2512,504,48.2527525131642,Young,ML Frameworks / Libraries,True,medium,164.8859474522293,Small,Low
datamllab/rlcard,Y,3249,875,12848,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/datamllab/rlcard/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README at https://github.com/datamllab/rlcard/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/datamllab/rlcard/issues/154 and https://github.com/datamllab/rlcard/issues/153",https://github.com/datamllab/rlcard/blob/master/LICENSE.md is provided,There are many files related to testing.,2024-06-26,2,35,2612.1000000000004,6,"Reinforcement Learning / AI Bots in Card (Poker) Games - Blackjack, Leduc, Texas, DouDizhu, Mahjong, UNO.","ai, blackjack, card-game, card-games, deep-reinforcement-learning, doudizhu, game, game-ai, game-bot, gym-environment, mahjong, multi-agent, openai-gym, poker, poker-game, reinforcement-learning, texas, uno",medium,2019-09-05T12:48:01Z,2019-09-05 12:48:01,2281,362,28.175591531755916,Young,Reinforcement Learning,True,medium,140.11124506795264,Small,Low
deepmind/dm-haiku,Y,3100,1024,20792,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/dm-haiku/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepmind/dm-haiku/tree/master/docs and README at https://github.com/deepmind/dm-haiku/blob/master/haiku/experimental.py and https://github.com/deepmind/dm-haiku/blob/master/haiku/initializers.py,Checking https://github.com/deepmedic/deepmedic/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/dm-haiku/issues/55",https://github.com/deepmind/dm-haiku/blob/master/LICENSE is provided,There are a few files related to testing.,2025-09-18,20,82,4007.2,4,JAX-based neural network library,"deep-learning, deep-neural-networks, jax, machine-learning, neural-networks",medium,2020-02-18T07:14:02Z,2020-02-18 07:14:02,2115,1019,49.00923432089265,Young,ML Frameworks / Libraries,True,medium,176.83971631205674,Large,Low
deepmind/sonnet,Y,9884,873,13196,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmind/sonnet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/deepmind/sonnet/tree/v2/docs,Checking https://github.com/deepmind/sonnet/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmind/sonnet/issues/172",https://github.com/deepmind/sonnet/blob/v2/LICENSE is provided,There are a few files related to testing.,2025-08-04,5,56,5895.5,4,TensorFlow-based neural network library,"artificial-intelligence, deep-learning, machine-learning, neural-networks, tensorflow",medium,2017-04-03T11:34:35Z,2017-04-03 11:34:35,3166,681,51.60654743861776,Mature,ML Frameworks / Libraries,True,medium,100.71486102337333,Large,Low
deepmipt/DeepPavlov,Y,6934,2711,16907,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepmipt/DeepPavlov/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/deepmipt/DeepPavlov/blob/master/deeppavlov/evolve.py,Checking https://github.com/deepmipt/DeepPavlov/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepmipt/DeepPavlov/issues/1265",https://github.com/deepmipt/DeepPavlov/blob/master/LICENSE is provided,There are many files related to testing.,2024-11-26,51,70,5686.900000000001,6,An open source library for deep learning end-to-end dialog systems and chatbots.,"ai, artificial-intelligence, bot, chatbot, chitchat, deep-learning, deep-neural-networks, dialogue-agents, dialogue-manager, dialogue-systems, entity-extraction, intent-classification, intent-detection, machine-learning, named-entity-recognition, nlp, nlp-machine-learning, question-answering, slot-filling, tensorflow",medium,2017-11-17T14:35:29Z,2017-11-17 14:35:29,2938,908,53.70556574200035,Mature,Natural Language Processing,True,medium,337.0295268890402,Large,High
DigitalSlideArchive/HistomicsTK,Y,446,3031,11307,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DigitalSlideArchive/HistomicsTK/graphs/contributors shows that there are multiple contributors,The project uses various CI services,There is a well-maintained documentation,No evidence of sustained commit activity for May and June with 2 commits each,"The project maintainers respond to issues, as evidenced by https://github.com/DigitalSlideArchive/HistomicsTK/issues/869 and https://github.com/DigitalSlideArchive/HistomicsTK/issues/867.",https://github.com/DigitalSlideArchive/HistomicsTK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-08,7,30,1987.7,5,A Python toolkit for pathology image analysis algorithms.,"bioimage-informatics, computer-vision, digital-slide-archive, histology, machine-learning, medical-image-processing, python",medium,2015-10-15T14:49:21Z,2015-10-15 14:49:21,3702,498,44.04351286813478,Mature,Computer Vision,True,medium,299.0472042139384,Small,High
DLR-RM/stable-baselines3,Y,11626,907,14536,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,19,155,9572.5,5,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms. ","baselines, gsde, gym, machine-learning, openai, python, pytorch, reinforcement-learning, reinforcement-learning-algorithms, robotics, sb3, sde, stable-baselines, toolbox",medium,2020-05-05T05:52:26Z,2020-05-05 05:52:26,2038,535,36.80517336268574,Young,Reinforcement Learning,True,medium,162.55237978410204,Large,Low
DSE-MSU/DeepRobust,Y,1059,858,14598,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DSE-MSU/DeepRobust/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DSE-MSU/DeepRobust/issues/15 and https://github.com/DSE-MSU/DeepRobust/issues/13.",https://github.com/DSE-MSU/DeepRobust/blob/master/LICENSE is provided.,There are many files related to testing.,2025-06-26,8,17,1191.0,3,A pytorch adversarial library for attack and defense methods on images and graphs,"adversarial-attacks, adversarial-examples, deep-learning, deep-neural-networks, defense, graph-convolutional-networks, graph-mining, graph-neural-networks, machine-learning",medium,2019-09-21T16:09:07Z,2019-09-21 16:09:07,2265,1318,90.286340594602,Young,ML Frameworks / Libraries,False,medium,138.35960264900663,Small,Low
evilsocket/pwnagotchi,Y,8621,1744,12470,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/evilsocket/pwnagotchi/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/evilsocket/pwnagotchi/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/evilsocket/pwnagotchi/issues/892 and https://github.com/evilsocket/pwnagotchi/issues/859",https://github.com/evilsocket/pwnagotchi/blob/master/LICENSE.md is provided,There is no evidence of any testing done on the project.,2025-08-23,5,139,8141.6,6,(⌐■_■) - Deep Reinforcement Learning instrumenting bettercap for WiFi pwning.,"ai, bettercap, deep-learning, deep-neural-network, deep-reinforcement-learning, handshakes, wpa-psk",medium,2019-09-19T13:07:15Z,2019-09-19 13:07:15,2267,552,44.26623897353649,Young,Reinforcement Learning,True,medium,280.98632554036175,Large,High
facebookresearch/CrypTen,Y,1618,359,21718,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/facebookresearch/CrypTen/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/facebookresearch/CrypTen/tree/master/docs,Checking https://github.com/facebookresearch/CrypTen/pulse/monthly there has been significant commit activity in the past month.,The author of the project does not reply to issues or close them.,https://github.com/facebookresearch/CrypTen/blob/master/LICENSE is provided,There are many files related to testing.,2024-11-23,16,27,1564.9,3,A framework for Privacy Preserving Machine Learning,,medium,2019-08-15T00:00:31Z,2019-08-15 00:00:31,2303,1365,62.8510912607054,Young,MLOps / Deployment,False,medium,56.93649587494572,Small,Low
fastai/fastai,Y,27456,2882,14973,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fastai/fastai/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/fastai/fastai/tree/master/docs,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/fastai/fastai/issues/2572",https://github.com/fastai/fastai/blob/master/LICENSE is provided,There are many files related to testing.,2025-09-05,3,241,19077.0,3,The fastai deep learning library,"colab, deep-learning, fastai, gpu, machine-learning, notebooks, python, pytorch",medium,2017-09-09T17:43:36Z,2017-09-09 17:43:36,3007,1425,95.17130835503906,Mature,ML Frameworks / Libraries,True,medium,350.0666777519122,Large,High
f-dangel/backpack,Y,592,1818,16500,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/f-dangel/backpack/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/f-dangel/backpack/tree/master/docs,Checking https://github.com/f-dangel/backpack/pulse/monthly there has been minor commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/f-dangel/backpack/issues/68",https://github.com/f-dangel/backpack/blob/master/LICENSE.txt is provided,There are many files related to testing.,2024-11-21,10,7,992.2,1,BackPACK - a backpropagation package built on top of PyTorch which efficiently computes quantities other than the gradient.,,medium,2019-07-11T14:03:56Z,2019-07-11 14:03:56,2337,689,41.75757575757576,Young,ML Frameworks / Libraries,True,medium,284.1354300385109,Small,High
